defect_id,asset_id,section_id,defect_type,asset_type,initial_severity_grade,severity_grade,detected_date,resolved_date,status,escalated_to_critical_within_30d,escalation_date,future_event_desc,duration_hours,is_monsoon_detected
DEF_00001,TRA_SEC_01_1,SEC_01,Sleeper_Fastening_Defect,Track,1,1,2024-01-02 00:00:00,2024-01-09 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-01),7.03,0
DEF_00002,TRA_SEC_05_3,SEC_05,Sleeper_Fastening_Defect,Track,1,1,2024-01-02 00:00:00,2024-01-04 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-01),10.13,0
DEF_00003,TRA_SEC_01_2,SEC_01,Sleeper_Fastening_Defect,Track,2,2,2024-01-02 00:00:00,2024-01-03 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-01),6.15,0
DEF_00004,TRA_SEC_13_2,SEC_13,Sleeper_Fastening_Defect,Track,2,2,2024-01-02 00:00:00,2024-01-07 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-01),5.24,0
DEF_00005,TRA_SEC_06_3,SEC_06,Track_Geometry_Rail_Wear,Track,1,1,2024-01-03 00:00:00,2024-01-09 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-02),3.21,0
DEF_00006,TRA_SEC_11_1,SEC_11,Rail_Weld_Flaw,Track,1,1,2024-01-04 00:00:00,2024-01-11 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-03),29.63,0
DEF_00007,TRA_SEC_17_2,SEC_17,Rail_Weld_Flaw,Track,2,2,2024-01-04 00:00:00,2024-01-07 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-03),5.76,0
DEF_00008,TRA_SEC_08_3,SEC_08,Sleeper_Fastening_Defect,Track,2,2,2024-01-05 00:00:00,2024-01-07 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-04),4.35,0
DEF_00009,OHE_SEC_11_1,SEC_11,Contact_Wire_Thinning,OHE,1,1,2024-01-07 00:00:00,2024-01-09 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-06),2.95,0
DEF_00010,SIG_SEC_17_1,SEC_17,Signal_Interlocking_Failure,Signal,2,2,2024-01-07 00:00:00,2024-01-12 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-06),3.71,0
DEF_00011,OHE_SEC_12_2,SEC_12,Cantilever_Assembly_Wear,OHE,2,2,2024-01-10 00:00:00,2024-01-15 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-09),9.66,0
DEF_00012,TRA_SEC_02_2,SEC_02,Track_Geometry_Rail_Wear,Track,2,2,2024-01-10 00:00:00,2024-01-12 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-09),7.67,0
DEF_00013,TRA_SEC_07_3,SEC_07,Sleeper_Fastening_Defect,Track,1,1,2024-01-11 00:00:00,2024-01-12 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-10),4.9,0
DEF_00014,SIG_SEC_05_1,SEC_05,Signal_Interlocking_Failure,Signal,1,1,2024-01-11 00:00:00,2024-01-14 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-10),3.16,0
DEF_00015,SIG_SEC_13_4,SEC_13,Signal_Interlocking_Failure,Signal,1,1,2024-01-12 00:00:00,2024-01-16 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-11),1.93,0
DEF_00016,TRA_SEC_14_2,SEC_14,Rail_Weld_Flaw,Track,1,1,2024-01-13 00:00:00,2024-01-16 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-12),10.02,0
DEF_00017,SIG_SEC_09_3,SEC_09,Point_Machine_Wear,Signal,1,1,2024-01-13 00:00:00,2024-01-18 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-12),0.94,0
DEF_00018,TRA_SEC_11_1,SEC_11,Rail_Weld_Flaw,Track,1,4,2024-01-14 00:00:00,2024-01-15 00:00:00,RESOLVED,1,2024-01-31 00:00:00,Escalated to Grade 4 on 2024-01-31 (+17 days),10.11,0
DEF_00019,TRA_SEC_13_1,SEC_13,Rail_Weld_Flaw,Track,1,1,2024-01-15 00:00:00,2024-01-16 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-14),4.82,0
DEF_00020,SIG_SEC_08_4,SEC_08,Signal_Interlocking_Failure,Signal,1,1,2024-01-15 00:00:00,2024-01-17 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-14),6.91,0
DEF_00021,SIG_SEC_15_2,SEC_15,Point_Machine_Wear,Signal,1,1,2024-01-17 00:00:00,2024-01-20 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-16),6.1,0
DEF_00022,OHE_SEC_06_1,SEC_06,Cantilever_Assembly_Wear,OHE,1,1,2024-01-17 00:00:00,2024-01-22 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-16),2.45,0
DEF_00023,TRA_SEC_13_1,SEC_13,Track_Geometry_Rail_Wear,Track,1,4,2024-01-17 00:00:00,2024-01-22 00:00:00,RESOLVED,1,2024-02-14 00:00:00,Escalated to Grade 4 on 2024-02-14 (+28 days),19.29,0
DEF_00024,TRA_SEC_17_1,SEC_17,Sleeper_Fastening_Defect,Track,1,1,2024-01-19 00:00:00,2024-01-20 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-18),9.13,0
DEF_00025,SIG_SEC_05_4,SEC_05,Point_Machine_Wear,Signal,1,1,2024-01-20 00:00:00,2024-01-25 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-19),3.0,0
DEF_00026,SIG_SEC_01_3,SEC_01,Track_Circuit_Glitch,Signal,2,2,2024-01-21 00:00:00,2024-01-25 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-20),4.03,0
DEF_00027,OHE_SEC_02_1,SEC_02,OHE_Stagger_Deviation,OHE,2,4,2024-01-22 00:00:00,2024-01-23 00:00:00,RESOLVED,1,2024-02-20 00:00:00,Escalated to Grade 4 on 2024-02-20 (+29 days),8.17,0
DEF_00028,TRA_SEC_09_3,SEC_09,Track_Geometry_Rail_Wear,Track,1,1,2024-01-24 00:00:00,2024-01-29 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-23),3.05,0
DEF_00029,OHE_SEC_09_2,SEC_09,OHE_Stagger_Deviation,OHE,1,1,2024-01-25 00:00:00,2024-01-28 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-24),2.72,0
DEF_00030,OHE_SEC_12_2,SEC_12,Cantilever_Assembly_Wear,OHE,1,4,2024-01-26 00:00:00,2024-01-27 00:00:00,RESOLVED,1,2024-02-22 00:00:00,Escalated to Grade 4 on 2024-02-22 (+27 days),16.8,0
DEF_00031,SIG_SEC_04_3,SEC_04,Point_Machine_Wear,Signal,3,3,2024-01-27 00:00:00,2024-01-28 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-26),5.16,0
DEF_00032,SIG_SEC_12_4,SEC_12,Signal_Interlocking_Failure,Signal,1,1,2024-01-27 00:00:00,2024-01-28 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-02-26),3.79,0
DEF_00033,TRA_SEC_07_2,SEC_07,Track_Geometry_Rail_Wear,Track,2,4,2024-01-27 00:00:00,2024-01-31 00:00:00,RESOLVED,1,2024-02-04 00:00:00,Escalated to Grade 4 on 2024-02-04 (+8 days),9.43,0
DEF_00034,SIG_SEC_17_4,SEC_17,Signal_Interlocking_Failure,Signal,1,4,2024-01-31 00:00:00,2024-02-02 00:00:00,RESOLVED,1,2024-02-15 00:00:00,Escalated to Grade 4 on 2024-02-15 (+15 days),15.59,0
DEF_00035,SIG_SEC_16_4,SEC_16,Point_Machine_Wear,Signal,2,2,2024-01-31 00:00:00,2024-02-01 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-01),7.16,0
DEF_00036,TRA_SEC_15_3,SEC_15,Track_Geometry_Rail_Wear,Track,1,1,2024-02-01 00:00:00,2024-02-06 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-02),6.03,0
DEF_00037,SIG_SEC_15_2,SEC_15,Track_Circuit_Glitch,Signal,1,1,2024-02-01 00:00:00,2024-02-02 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-02),5.12,0
DEF_00038,OHE_SEC_16_1,SEC_16,OHE_Stagger_Deviation,OHE,2,2,2024-02-02 00:00:00,2024-02-03 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-03),2.89,0
DEF_00039,SIG_SEC_05_4,SEC_05,Track_Circuit_Glitch,Signal,2,2,2024-02-05 00:00:00,2024-02-12 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-06),2.58,0
DEF_00040,OHE_SEC_10_2,SEC_10,Cantilever_Assembly_Wear,OHE,1,1,2024-02-06 00:00:00,2024-02-08 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-07),4.04,0
DEF_00041,TRA_SEC_05_2,SEC_05,Track_Geometry_Rail_Wear,Track,1,1,2024-02-08 00:00:00,2024-02-09 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-09),8.62,0
DEF_00042,TRA_SEC_03_1,SEC_03,Rail_Weld_Flaw,Track,1,1,2024-02-08 00:00:00,2024-02-10 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-09),7.63,0
DEF_00043,SIG_SEC_03_2,SEC_03,Point_Machine_Wear,Signal,1,1,2024-02-09 00:00:00,2024-02-12 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-10),3.98,0
DEF_00044,TRA_SEC_15_1,SEC_15,Sleeper_Fastening_Defect,Track,3,3,2024-02-10 00:00:00,2024-02-11 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-11),5.35,0
DEF_00045,TRA_SEC_03_1,SEC_03,Track_Geometry_Rail_Wear,Track,1,1,2024-02-10 00:00:00,2024-02-12 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-11),4.42,0
DEF_00046,TRA_SEC_10_3,SEC_10,Rail_Weld_Flaw,Track,2,2,2024-02-10 00:00:00,2024-02-11 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-11),9.06,0
DEF_00047,SIG_SEC_17_4,SEC_17,Track_Circuit_Glitch,Signal,2,2,2024-02-12 00:00:00,2024-02-17 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-13),6.52,0
DEF_00048,TRA_SEC_07_2,SEC_07,Track_Geometry_Rail_Wear,Track,1,1,2024-02-13 00:00:00,2024-02-15 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-14),1.87,0
DEF_00049,SIG_SEC_03_1,SEC_03,Signal_Interlocking_Failure,Signal,2,2,2024-02-13 00:00:00,2024-02-14 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-14),4.61,0
DEF_00050,TRA_SEC_07_3,SEC_07,Rail_Weld_Flaw,Track,1,1,2024-02-13 00:00:00,2024-02-20 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-14),6.7,0
DEF_00051,TRA_SEC_10_2,SEC_10,Rail_Weld_Flaw,Track,3,3,2024-02-14 00:00:00,2024-02-17 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-15),11.76,0
DEF_00052,OHE_SEC_10_2,SEC_10,Cantilever_Assembly_Wear,OHE,1,1,2024-02-14 00:00:00,2024-02-18 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-15),4.88,0
DEF_00053,TRA_SEC_15_3,SEC_15,Rail_Weld_Flaw,Track,1,1,2024-02-15 00:00:00,2024-02-21 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-16),6.22,0
DEF_00054,SIG_SEC_14_4,SEC_14,Track_Circuit_Glitch,Signal,1,1,2024-02-16 00:00:00,2024-02-19 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-17),3.5,0
DEF_00055,SIG_SEC_04_2,SEC_04,Point_Machine_Wear,Signal,1,1,2024-02-16 00:00:00,2024-02-25 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-17),2.97,0
DEF_00056,SIG_SEC_13_1,SEC_13,Signal_Interlocking_Failure,Signal,1,1,2024-02-16 00:00:00,2024-02-28 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-17),5.46,0
